"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"26",1,"gap",22,"b","!","{Yes}",0,3000,-0.5,-0.5,3000
"43",1,"gap",16,"b","!","{No}",1,2705,-0.5,-0.5,2705
"47",1,"gap",21,"a","!","{Yes}",0,1914,-0.5,0.5,1914
"51",1,"gap",19,"a","!","{Yes}",0,2490,-0.5,0.5,2490
"71",1,"gap",13,"a","!","{Yes}",0,2284,-0.5,0.5,2284
"82",1,"gap",14,"b","!","{Yes}",0,1526,-0.5,-0.5,1526
"96",1,"gap",20,"b","!","{No}",1,1910,-0.5,-0.5,1910
"119",1,"gap",24,"b","!","{No}",1,3237,-0.5,-0.5,3237
"123",1,"gap",23,"a","!","{Yes}",0,2275,-0.5,0.5,2275
"162",1,"gap",18,"b","!","{No}",1,2996,-0.5,-0.5,2996
"165",1,"gap",17,"a","!","{No}",1,3227,-0.5,0.5,3227
"179",1,"gap",15,"a","!","{No}",1,1968,-0.5,0.5,1968
"205",2,"gap",14,"a","!","{Yes}",0,2003,-0.5,0.5,2003
"213",2,"gap",20,"a","!","{No}",1,2414,-0.5,0.5,2414
"237",2,"gap",23,"b","!","{Yes}",0,3213,-0.5,-0.5,3213
"279",2,"gap",18,"a","!","{Yes}",0,1017,-0.5,0.5,1017
"283",2,"gap",17,"b","!","{Yes}",0,2780,-0.5,-0.5,2780
"300",2,"gap",21,"b","!","{Yes}",0,1187,-0.5,-0.5,1187
"304",2,"gap",15,"b","!","{Yes}",0,1954,-0.5,-0.5,1954
"310",2,"gap",19,"b","!","{No}",1,1110,-0.5,-0.5,1110
"318",2,"gap",13,"b","!","{Yes}",0,931,-0.5,-0.5,931
"327",2,"gap",24,"a","!","{No}",1,936,-0.5,0.5,936
"334",2,"gap",22,"a","!","{No}",1,2509,-0.5,0.5,2509
"338",2,"gap",16,"a","!","{Yes}",0,1518,-0.5,0.5,1518
"385",3,"gap",13,"a","!","{Yes}",0,2733,-0.5,0.5,2733
"391",3,"gap",14,"b","!","{Yes}",0,2678,-0.5,-0.5,2678
"416",3,"gap",23,"a","!","{Yes}",0,6209,-0.5,0.5,6209
"423",3,"gap",24,"b","!","{No}",1,2442,-0.5,-0.5,2442
"444",3,"gap",16,"b","!","{No}",1,4303,-0.5,-0.5,4303
"459",3,"gap",20,"b","!","{Yes}",0,2795,-0.5,-0.5,2795
"467",3,"gap",15,"a","!","{Yes}",0,3680,-0.5,0.5,3680
"485",3,"gap",19,"a","!","{Yes}",0,2211,-0.5,0.5,2211
"493",3,"gap",22,"b","!","{No}",1,1633,-0.5,-0.5,1633
"496",3,"gap",17,"a","!","{No}",1,1418,-0.5,0.5,1418
"512",3,"gap",21,"a","!","{Yes}",0,14076,-0.5,0.5,14076
"522",3,"gap",18,"b","!","{Yes}",0,3490,-0.5,-0.5,3490
"555",4,"gap",17,"b","!","{Yes}",0,1437,-0.5,-0.5,1437
"566",4,"gap",20,"a","!","{No}",1,2275,-0.5,0.5,2275
"569",4,"gap",24,"a","!","{Yes}",0,1499,-0.5,0.5,1499
"582",4,"gap",19,"b","!","{Yes}",0,1145,-0.5,-0.5,1145
"610",4,"gap",13,"b","!","{Yes}",0,1423,-0.5,-0.5,1423
"648",4,"gap",22,"a","!","{Yes}",0,1518,-0.5,0.5,1518
"659",4,"gap",14,"a","!","{Yes}",0,1213,-0.5,0.5,1213
"666",4,"gap",15,"b","!","{No}",1,2305,-0.5,-0.5,2305
"677",4,"gap",18,"a","!","{Yes}",0,1635,-0.5,0.5,1635
"681",4,"gap",16,"a","!","{Yes}",0,1869,-0.5,0.5,1869
"704",4,"gap",23,"b","!","{Yes}",0,1052,-0.5,-0.5,1052
"718",4,"gap",21,"b","!","{Yes}",0,1157,-0.5,-0.5,1157
"740",5,"gap",24,"b","!","{Yes}",0,2421,-0.5,-0.5,2421
"743",5,"gap",15,"a","!","{Yes}",0,1540,-0.5,0.5,1540
"753",5,"gap",17,"a","!","{Yes}",0,2373,-0.5,0.5,2373
"804",5,"gap",23,"a","!","{Yes}",0,2801,-0.5,0.5,2801
"812",5,"gap",22,"b","!","{Yes}",0,2199,-0.5,-0.5,2199
"831",5,"gap",21,"a","!","{Yes}",0,1830,-0.5,0.5,1830
"839",5,"gap",14,"b","!","{Yes}",0,1296,-0.5,-0.5,1296
"849",5,"gap",16,"b","!","{Yes}",0,1661,-0.5,-0.5,1661
"860",5,"gap",18,"b","!","{No}",1,1527,-0.5,-0.5,1527
"867",5,"gap",20,"b","!","{Yes}",0,3016,-0.5,-0.5,3016
"870",5,"gap",19,"a","!","{Yes}",0,1838,-0.5,0.5,1838
"881",5,"gap",13,"a","!","{Yes}",0,1664,-0.5,0.5,1664
"923",6,"gap",24,"a","!","{No}",1,1230,-0.5,0.5,1230
"929",6,"gap",15,"b","!","{Yes}",0,2846,-0.5,-0.5,2846
"938",6,"gap",13,"b","!","{Yes}",0,1794,-0.5,-0.5,1794
"966",6,"gap",14,"a","!","{Yes}",0,7162,-0.5,0.5,7162
"981",6,"gap",18,"a","!","{Yes}",0,1361,-0.5,0.5,1361
"988",6,"gap",17,"b","!","{Yes}",0,1259,-0.5,-0.5,1259
"995",6,"gap",19,"b","!","{Yes}",0,2283,-0.5,-0.5,2283
"1013",6,"gap",21,"b","!","{Yes}",0,1322,-0.5,-0.5,1322
"1039",6,"gap",16,"a","!","{Yes}",0,3171,-0.5,0.5,3171
"1057",6,"gap",22,"a","!","{No}",1,2774,-0.5,0.5,2774
"1064",6,"gap",20,"a","!","{No}",1,1704,-0.5,0.5,1704
"1072",6,"gap",23,"b","!","{Yes}",0,3795,-0.5,-0.5,3795
"1122",7,"gap",21,"a","!","{Yes}",0,3388,-0.5,0.5,3388
"1129",7,"gap",16,"b","!","{No}",1,6886,-0.5,-0.5,6886
"1135",7,"gap",17,"a","!","{Yes}",0,2362,-0.5,0.5,2362
"1153",7,"gap",13,"a","!","{Yes}",0,1579,-0.5,0.5,1579
"1161",7,"gap",20,"b","!","{No}",1,1639,-0.5,-0.5,1639
"1168",7,"gap",14,"b","!","{Yes}",0,1477,-0.5,-0.5,1477
"1194",7,"gap",22,"b","!","{No}",1,2243,-0.5,-0.5,2243
"1198",7,"gap",24,"b","!","{No}",1,2552,-0.5,-0.5,2552
"1210",7,"gap",23,"a","!","{Yes}",0,2854,-0.5,0.5,2854
"1227",7,"gap",15,"a","!","{No}",1,2865,-0.5,0.5,2865
"1235",7,"gap",18,"b","!","{No}",1,2089,-0.5,-0.5,2089
"1256",7,"gap",19,"a","!","{No}",1,4296,-0.5,0.5,4296
"1288",8,"gap",22,"a","!","{Yes}",0,2289,-0.5,0.5,2289
"1326",8,"gap",14,"a","!","{Yes}",0,1449,-0.5,0.5,1449
"1330",8,"gap",13,"b","!","{Yes}",0,1958,-0.5,-0.5,1958
"1339",8,"gap",15,"b","!","{No}",1,4640,-0.5,-0.5,4640
"1360",8,"gap",17,"b","!","{No}",1,3170,-0.5,-0.5,3170
"1367",8,"gap",19,"b","!","{Yes}",0,2547,-0.5,-0.5,2547
"1374",8,"gap",21,"b","!","{Yes}",0,2742,-0.5,-0.5,2742
"1386",8,"gap",23,"b","!","{Yes}",0,5719,-0.5,-0.5,5719
"1395",8,"gap",20,"a","!","{No}",1,4066,-0.5,0.5,4066
"1399",8,"gap",16,"a","!","{Yes}",0,1675,-0.5,0.5,1675
"1406",8,"gap",24,"a","!","{No}",1,1534,-0.5,0.5,1534
"1427",8,"gap",18,"a","!","{Yes}",0,3483,-0.5,0.5,3483
"1464",9,"gap",20,"b","!","{Yes}",0,1601,-0.5,-0.5,1601
"1486",9,"gap",16,"b","!","{No}",1,1481,-0.5,-0.5,1481
"1495",9,"gap",15,"a","!","{Yes}",0,1144,-0.5,0.5,1144
"1503",9,"gap",19,"a","!","{Yes}",0,1189,-0.5,0.5,1189
"1513",9,"gap",13,"a","!","{Yes}",0,1045,-0.5,0.5,1045
"1536",9,"gap",14,"b","!","{No}",1,1488,-0.5,-0.5,1488
"1544",9,"gap",17,"a","!","{Yes}",0,1214,-0.5,0.5,1214
"1555",9,"gap",22,"b","!","{No}",1,2462,-0.5,-0.5,2462
"1558",9,"gap",24,"b","!","{No}",1,1380,-0.5,-0.5,1380
"1565",9,"gap",23,"a","!","{No}",1,1118,-0.5,0.5,1118
"1582",9,"gap",21,"a","!","{No}",1,1237,-0.5,0.5,1237
"1594",9,"gap",18,"b","!","{No}",1,1721,-0.5,-0.5,1721
"1676",10,"gap",18,"a","!","{Yes}",0,2703,-0.5,0.5,2703
"1686",10,"gap",13,"b","!","{Yes}",0,1717,-0.5,-0.5,1717
"1689",10,"gap",21,"b","!","{Yes}",0,1199,-0.5,-0.5,1199
"1744",10,"gap",15,"b","!","{Yes}",0,1448,-0.5,-0.5,1448
"1752",10,"gap",20,"a","!","{No}",1,1275,-0.5,0.5,1275
"1756",10,"gap",17,"b","!","{Yes}",0,1298,-0.5,-0.5,1298
"1759",10,"gap",24,"a","!","{Yes}",0,1482,-0.5,0.5,1482
"1767",10,"gap",22,"a","!","{Yes}",0,1491,-0.5,0.5,1491
"1777",10,"gap",19,"b","!","{Yes}",0,2244,-0.5,-0.5,2244
"1785",10,"gap",23,"b","!","{Yes}",0,3138,-0.5,-0.5,3138
"1789",10,"gap",14,"a","!","{Yes}",0,3362,-0.5,0.5,3362
"1792",10,"gap",16,"a","!","{No}",1,685,-0.5,0.5,685
"1819",11,"gap",19,"a","!","{Yes}",0,2521,-0.5,0.5,2521
"1842",11,"gap",18,"b","!","{No}",1,1905,-0.5,-0.5,1905
"1845",11,"gap",24,"b","!","{No}",1,2829,-0.5,-0.5,2829
"1864",11,"gap",22,"b","!","{No}",1,4160,-0.5,-0.5,4160
"1871",11,"gap",23,"a","!","{No}",1,3855,-0.5,0.5,3855
