"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"23",1,"gp",3,"c","!","{The_president}",1,1844,-0.5,0.5,1844
"29",1,"gp",4,"d","!","{The_friend}",1,2138,-0.5,-0.5,2138
"33",1,"gp",7,"c","!","{The_lady}",1,1510,-0.5,0.5,1510
"89",1,"gp",20,"d","!","{The_man}",1,1897,-0.5,-0.5,1897
"92",1,"gp",19,"c","!","{The_basketball_player}",1,2853,-0.5,0.5,2853
"112",1,"gp",12,"d","!","{The_baby}",1,1747,-0.5,-0.5,1747
"133",1,"gp",11,"c","!","{The_friend}",1,1691,-0.5,0.5,1691
"140",1,"gp",24,"d","!","{The_director}",1,2375,-0.5,-0.5,2375
"144",1,"gp",16,"d","!","{The_assistant}",1,1960,-0.5,-0.5,1960
"159",1,"gp",15,"c","!","{The_boy}",1,3248,-0.5,0.5,3248
"171",1,"gp",23,"c","!","{The_child}",1,4003,-0.5,0.5,4003
"175",1,"gp",8,"d","!","{The_boy}",1,1513,-0.5,-0.5,1513
"217",2,"gp",15,"d","!","{The_boy}",1,1028,-0.5,-0.5,1028
"223",2,"gp",2,"c","!","{The_mother}",0,2794,-0.5,0.5,2794
"230",2,"gp",10,"c","!","{The_two_soldiers}",0,1124,-0.5,0.5,1124
"241",2,"gp",6,"c","!","{The_neighbour}",1,972,-0.5,0.5,972
"247",2,"gp",19,"d","!","{The_basketball_player}",1,1542,-0.5,-0.5,1542
"265",2,"gp",14,"c","!","{The_nurse}",1,1586,-0.5,0.5,1586
"293",2,"gp",3,"d","!","{The_president}",1,1444,-0.5,-0.5,1444
"297",2,"gp",23,"d","!","{The_child}",1,1108,-0.5,-0.5,1108
"324",2,"gp",11,"d","!","{The_friend}",1,1136,-0.5,-0.5,1136
"345",2,"gp",18,"c","!","{The_baby}",1,2386,-0.5,0.5,2386
"348",2,"gp",22,"c","!","{The_coach}",1,2255,-0.5,0.5,2255
"359",2,"gp",7,"d","!","{The_lady}",1,953,-0.5,-0.5,953
